date,purchase_price,sale_price
1999-01-11,,28.26
1999-01-12,,28.28
1999-01-13,,28.26
1999-01-14,,28.29
1999-01-15,,28.34
1999-01-18,,28.51
1999-01-19,,28.7
1999-01-20,,28.72
1999-01-21,,29.07
1999-01-22,,29.37
1999-01-26,,30.32
1999-01-27,,30.7
1999-01-28,,31.09
1999-01-29,,31.25
1999-02-01,,31.87
1999-02-02,,32.4
1999-02-03,,31.51
1999-02-04,,30.95
1999-02-05,,30.5
1999-02-08,,30.35
1999-02-09,,30.21
1999-02-10,,30.27
1999-02-11,,30.44
1999-02-12,,30.55
1999-02-17,,31.16
1999-02-18,,31.38
1999-02-19,,31.4
1999-02-22,,31.45
1999-02-23,,31.33
1999-02-24,,31.27
1999-02-25,,31.27
1999-02-26,,31.41
1999-03-01,,31.43
1999-03-02,,31.53
1999-03-03,,31.37
1999-03-04,,31.51
1999-03-05,,31.54
1999-03-08,,31.6
1999-03-09,,31.55
1999-03-10,,31.62
1999-03-11,,31.82
1999-03-12,,31.78
1999-03-15,,31.71
1999-03-16,,31.61
1999-03-17,,31.57
1999-03-18,,31.49
1999-03-19,,31.42
1999-03-22,,31.36
1999-03-23,,31.32
1999-03-24,,31.23
1999-03-25,,31.28
1999-03-26,,31.22
1999-03-29,,31.33
1999-03-30,,31.46
1999-03-31,,31.47
1999-04-05,,31.55
1999-04-06,,31.51
1999-04-07,,31.49
1999-04-08,,31.43
1999-04-09,,31.32
1999-04-12,,31.12
1999-04-13,,30.93
1999-04-14,,30.84
1999-04-15,,30.67
1999-04-16,,30.59
1999-04-19,,30.53
1999-04-20,,30.44
1999-04-22,,30.46
1999-04-23,,30.39
1999-04-26,,30.52
1999-04-27,,30.52
1999-04-28,,30.49
1999-04-29,,30.52
1999-04-30,,30.57
1999-05-03,,30.36
1999-05-04,,30.17
1999-05-05,,30.13
1999-05-06,,29.78
1999-05-07,,29.7
1999-05-10,,29.38
1999-05-11,,28.96
1999-05-12,,28.85
1999-05-13,,28.99
1999-05-14,,29.12
1999-05-17,,29.1
1999-05-18,,29.21
1999-05-19,,29.53
1999-05-20,,29.66
1999-05-21,,29.72
1999-05-24,,29.64
1999-05-25,,29.56
1999-05-26,,29.57
1999-05-27,,29.68
1999-05-28,,29.67
1999-05-31,,29.69
1999-06-01,,29.53
1999-06-02,,29.59
1999-06-04,,29.71
1999-06-07,,29.5
1999-06-08,,29.66
1999-06-09,,29.65
1999-06-10,,29.69
1999-06-11,,29.72
1999-06-14,,29.64
1999-06-15,,29.65
1999-06-16,,29.75
1999-06-17,,29.74
1999-06-18,,29.85
1999-06-21,,29.89
1999-06-22,,30.05
1999-06-23,,30.11
1999-06-24,,30.46
1999-06-25,,30.68
1999-06-28,,30.86
1999-06-29,,30.97
1999-06-30,,31.11
1999-07-01,,31.22
1999-07-02,,31.21
1999-07-05,,31.32
1999-07-06,,31.69
1999-07-07,,31.87
1999-07-08,,31.94
1999-07-12,,32.02
1999-07-13,,32.14
1999-07-14,,32.16
1999-07-15,,32.14
1999-07-16,,32.27
1999-07-19,,32.48
1999-07-20,,32.49
1999-07-21,,32.53
1999-07-22,,32.66
1999-07-23,,32.77
1999-07-26,,32.82
1999-07-27,,32.82
1999-07-28,,32.88
1999-07-29,,32.94
1999-07-30,,33.03
1999-08-02,,32.97
1999-08-03,,33
1999-08-04,,33.14
1999-08-05,,33.08
1999-08-06,,32.95
1999-08-09,,32.97
1999-08-10,,32.96
1999-08-11,,32.65
